!	משתמש:צלף/!
!	סימן קריאה
!!	!!
!!	תבנית:!!
Córdoba San Francisco	סן פרנסיסקו
Córdoba Synagogue	בית הכנסת בקורדובה
Côtes-d'Armor	קוט-ד'ארמור
Cümbüş	ג'ומבוש
Cüneyt Çakır	ג'ינייט צ'אקיר
Căile Ferate Române	הרכבת הרומנית
Călin Popescu-Tăriceanu	קלין פופסקו-טריצ'אנו
Călușari	קלושרי
Căpcăun	קפקאון
Cătălina Ponor	קטלינה פונור
Cēsis	צסיס
D	D
D	רה
D'Alembert operator	ד'אלמברטיאן
D'Alembert's paradox	פרדוקס ד'אלמבר
D'Alembert's principle	עקרון ד'אלמבר
D'Angelo Russell	ד'אנג'לו ראסל
D'Hondt method	שיטת ויקטור ד'הונד
D'Nash	ד'נאש
D'oh!	!D'oh
D'or Fischer	דיאור פישר
D-Link	D-Link
D-dimer	די-דימר
D-lactate dehydrogenase	לקטט דהידרוגנאז
D. Augustin	די.ג'יי. אוגוסטין
D. Cooper	די. בי. קופר
D. Griffith	ד.וו גריפית'
D. Lawrence	דייוויד הרברט לורנס
D. Mbenga	דידייה אילונגה מבנגה
D.C. Art museums and galleries in Washington	קטגוריה:מוזיאונים לאמנות בוושינגטון
D.C. Buildings and structures in Washington	קטגוריה:וושינגטון: מבנים
D.C. Monuments and memorials in Washington	קטגוריה:וושינגטון: אנדרטאות
D.C. Museums in Washington	קטגוריה:וושינגטון: מוזיאונים
D.C. Parks in Washington	קטגוריה:וושינגטון: פארקים
D.C. Sports in Washington	קטגוריה:וושינגטון: ספורט
D.C. Sports teams in Washington	קטגוריה:וושינגטון: מועדוני ספורט
D.C. United	די.סי. יונייטד
D.C. United players	קטגוריה:כדורגלני די.סי. יונייטד
D.C. Washington	וושינגטון די. סי.
D.C. Washington	פורטל:וושינגטון די. סי.
D.C. Washington	קטגוריה:וושינגטון די. סי.
D.E.B.S.	D.E.B.S
D12	D12
DAF Trucks	דאף
DAHER-SOCATA	סוקטה
DAISY Digital Talking Book	DAISY
DAM	דם
DAPI	DAPI
DARPA	DARPA
DARPA Grand Challenge	מרוץ האתגר הגדול של דארפ"א
DARPA Robotics Challenge	תחרות אתגר הרובוטיקה של דארפ"א
DATACOM/DB	Datacom/DB
DAX	DAX
DB	Db
DBC Pierre	די.בי.סי פייר
DBLP	Dblp
DC	DC
DC Comics	DC Comics
DC Comics	ספר:DC Comics
DC Comics	קטגוריה:DC קומיקס
DC Comics logo 2005–2012.svg	תמונה:Dc2005.jpg
DC Comics supervillains	קטגוריה:נבלי על בדי.סי. קומיקס
DC Extended Universe	היקום הקולנועי של די.סי. קומיקס
DC Shoes	נעלי DC
DC Universe	יקום DC
DC++	DC++
DC-to-DC converter	ממירי זרם ישר ממותגים
DCWorld	תבנית:גביע דייוויס עולמי
DD Form 214	תעודת שחרור משירות צבאי
DD-transpeptidase	טרנספפטידאז
DDR	DDR
DDR Museum	מוזיאון גרמניה המזרחית
DDR SDRAM	DDR SDRAM
DDR-Oberliga	ליגת העל המזרח-גרמנית
DDR-Oberliga top scorer	תבנית:מלך השערים של ליגת העל המזרח גרמנית
DDT	די-די-טי
DEET	DEET
DEF CON	DEF CON
DEFCON	DEFCON
DEST	DEST
DEagleBot	משתמש:DEagleBot
DF	DF
DF-21	דונגפנג 21
DF-26	דונגפנג 26
DF-4	DF-4
DFB-Pokal	הגביע הגרמני
DFL-Supercup	הסופר קאפ הגרמני
DGtal	משתמש:DGtal
DHL Express	DHL
DIMES	DIMES
DIMM	DIMM
DJ Jazzy Jeff	די ג'יי ג'אזי ג'ף
DJ Jazzy Jeff & The Fresh Prince	די ג'יי ג'אזי ג'ף אנד דה פרש פרינס
DJ Premier	די ג'יי פרמייר
DJ Sammy	DJ Sammy
DJ Shadow	די ג'יי שאדו
DJ Yella	DJ Yella
DJs	קטגוריה:תקליטנים
DLL Hell	DLL hell
DLand	משתמש:DLand
DMA	DMA
DMF	DMF
DMOZ	המדריך הפתוח
DMSO reductase	דימתיל סולפוקסיד רדוקטז
DMX	DMX
DMY	משתמש:DMY
DNA	DNA
DNA	קטגוריה:DNA
DNA computing	מחשוב DNA
DNA microarray	מערך DNA
DNA nanotechnology	ננוטכנולוגיית דנ"א
DNA origami	DNA אוריגמי
DNA paternity testing	בדיקת סמני DNA
DNA polymerase	DNA פולימראז
DNA repair	תיקון DNA
DNA replication	שכפול DNA
DNA sequencing	ריצוף DNA
DNA vaccination	חיסון DNA
DNA virus	נגיף DNA
DNCE	די אן סי אי
DOC	דוק
DOCSIS	דוקסיס
DONOVAN	משתמש:דונובן
DOS	DOS
DOS games	קטגוריה:משחקי DOS
DOS on IBM PC compatibles	קטגוריה:DOS
DOS software	קטגוריה:תוכנות DOS
DOSBox	DOSBox
DPR Korea League	ליגת הכדורגל של קוריאה הצפונית
DR Congo at the Olympics	הרפובליקה הדמוקרטית של קונגו במשחקים האולימפיים
DR Congo national football team	נבחרת הרפובליקה הדמוקרטית של קונגו בכדורגל
DS 5	סיטרואן DS5
DS9logo.JPG	קובץ:DS9logo.jpg
DSR-Precision GmbH DSR-1	DSR-1
DSV Alvin	DSV Alvin
DShK	מקלע DShK
DTM&H	DTM&H
DTP	DTP
DTS	DTS
DTWNS	מלך אקסום דטוונס
DV8 Physical Theatre	התיאטרון הפיזי DV8
DVB-T	DVB-T
DVD	DVD
DVD-Audio	DVD-Audio
DVR	DVR
Da Ali G Show	המופע של עלי ג'י
Da Lat	דה לאט
Da Vinci	דה וינצ'י
Da Vinci's Demons	הסודות של דה וינצ'י
Da'am Workers Party	דעם
Da'as Torah	דעת תורה
Da'at Miqra	דעת מקרא
Daat enc	תבנית:אנצ דעת
Dabigatran	דביגטראן
Dabiq	דאבק
Dabke	דבקה
Dabney Coleman	דבני קולמן
Dabru Emet	דברו אמת
Dabulamanzi kaMpande	דבולמנזי קמפנדה
Dabur-class patrol boat	דבור
Daburiyya	דבורייה
Daceyville	דייסיוויל
Dacha	דאצ'ה
Dachau	דכאו
Dachau concentration camp	מחנה הריכוז דכאו
Dachau concentration camp	קטגוריה:דכאו
Dachau liberation reprisals	נקמת שחרור דכאו
Dachau trials	משפטי דכאו
Dachi of Iberia	מלך איבריה דאצ'י
Dachshund	תחש
Dacia	דאקיה
Dacia	קטגוריה:דאקיה
Dacia 1300	דלתא
Dacia Literară	דאצ'יה ספרותית
Dacian Cioloș	דאצ'יאן צ'ולוש
Dacian Fortresses of the Orăștie Mountains	המצודות הדאקיות של הרי אורשטיה
Dacian kings	קטגוריה:שליטי דאקיה
Dacian language	דאקית
Dacite	דקיט
Dactylic hexameter	הקסמטר דקטילי
Dactyloidae	אנוליסיים
Dactylorhiza romana	אצבענית רומאית
Dactyly	דקטיליה
Dada	דאדא
Dada	קטגוריה:דאדא
Dada Life	דאדה לייף
Daddy	Daddy
Daddy Cool	Daddy Cool
Daddy Wait for Me	חכה לי אבא
Daddy Yankee	דדי יאנקי
Daddy longlegs	אבא ארך רגליים
Daddy-Long-Legs	אבא ארך רגליים
Dade County	מחוז דייד
Dadnapped	אבא בצרה
Dadra and Nagar Haveli	דאדרה ונאגר הבלי
Daedalus	דדלוס
Daegu	טגו
Daejeon	טג'אן
Daemon	Daemon
Daemon Tools	DAEMON Tools
Daemorris	User:Daemorris
Daf	דף
Daf Yomi	הדף היומי
Daf-2	DAF-2
Daffy Duck	דאפי דאק
Daffy Duck's Fantastic Island	דאפי דאק באי הקסום
Daffy Duck's Quackbusters	דאפי דאק ומכסחי הברווזים
Daflores/Sandbox	חוסן נפשי
Dafna	דפנה
Dafna Dekel	דפנה דקל
Dafna Lemish	דפנה למיש
Dafne	דפנה
Dafne Schippers	דפנה סחיפרס
Dafni	דפני
Dafoe	דפו
Daft Punk	דאפט פאנק
Daft Punk	קטגוריה:דאפט פאנק
Daft Punk - Discovery.jpg	תמונה:Daft punk discovery front.jpg
Dafydd ap Gruffydd	דוויד' אפ גריפיד'
Dag Hammarskjöld	דאג המרשלד
Dagan	דגן
Dagan Yivzori	דגן יבזורי
Dagen H	יום ה-H
Dagens Nyheter	דגנס ניהטר
Dagesh	דגש קל
Dagestan	דאגסטן
Dagestan	קטגוריה:דאגסטן
Dagger	דאגר
Dagger	פגיון
Dagger	צלבון
Daggers	קטגוריה:פגיונות
Dagmar of Denmark	נסיכת דנמרק דאגמאר
Dagny Mellgren	דאגני מלגרן
Dagobert III	דאגובר השלישי
Dagobert of Pisa	דגובר מפיזה
Dagon	דגון
Dagor Aglareb	דאגור אגלארב
Dagor Bragollach	דאגור בראגולאך
Dagor-nuin-Giliath	דאגור-נואין-גיליאת
Daguerreotype	דאגרוטיפ
Dahab	דהב
Dahan	דהאן
Dahaniya	דהנייה
Dahieh	רובע הדאחייה
Dahlak Archipelago	איי דחלק
Dahlem	דאהלם
Dahlia	דליה
Dahlia Ravikovitch	דליה רביקוביץ
Dahmash	דהמש
Dahme	דאמה
Dahn Ben-Amotz	דן בן אמוץ
Dahomey	דהומיי
Dahshur	דחשור
Dahu	שרגול
Dai	דאי
Dai County	דאי
Dai Greene	דיי גרין
Daifugō	פרזידנט
Daigo Fukuryū Maru	דאיגו פוקוריו מארו
Daihatsu	דייהטסו
Daily Express	דיילי אקספרס
Daily Mail	דיילי מייל
Daily Mirror	דיילי מירור
Daimler AG	דיימלר AG
Daimler Armoured Car	שריונית דיימלר
Daimler Dingo	שריונית דיימלר דינגו
Daimyo	דאימיו
Daimyo	קטגוריה:דאימיו
Daiquiri	דאקירי
Daireaux	דרו
Dairy	מחלבה
Dairy	קטגוריה:תעשיית החלב
Dairy Queen	דיירי קווין
Dairy Queen logo.svg	תמונה:200px-Dairy Queen logo.svg.png
Dairy cattle	בקר לחלב
Dairy farming	קטגוריה:משק חלב
Dairy product	מוצרי חלב
Dairy products	קטגוריה:מוצרי חלב
Dairy products companies	קטגוריה:יצרני מוצרי חלב
Daisy	תשדיר החרצית
Daisy Duck	דייזי דאק
Daisy Johnson	קווייק
Daisy Ridley	דייזי רידלי
Daisy and Violet Hilton	ויולט ודייזי הילטון
Dak/aids	איידס
Dakahlia Governorate	א-דקהלייה
Dakar	דקר
Dakar	קטגוריה:דקר
Dakar Rally	ראלי דקר
Daken	דאקן
Dakhla Oasis	נווה המדבר דאח'לה
Daklon	דקלון
Dakota	דקוטה
Dakota Blue Richards	דקוטה בלו ריצ'רדס
Dakota Fanning	דקוטה פנינג
Dakota Johnson	דקוטה ג'ונסון
Dakotaraptor	דקוטרפטור
Daksha	דאקשה
Dal	דאל
Dal	דל
Dal Lake	אגם דאל
Dal Pescatore	דל פסקטורה
Dalai Lama	דלאי לאמה
Dalai Lamas	קטגוריה:דלאי לאמה
Dalal Mughrabi	דלאל מוגרבי
Dalarna	דלרנה
Dalarna County	דלרנה
Dalbergia sissoo	סיסם הודי
Dalcroze Eurhythmics	ריתמיקה
Dale Carnegie	דייל קרנגי
Dale Chihuly	דייל צ'יהולי
Dale Davis	דייל דייוויס
Dale Dye	דייל דיי
Dale Ellis	דייל אליס
Dale Spender	דייל ספנדר
Dalek	דאלקים
Dalene Matthee	דלין מתיה
Dalet	ד
Daley Blind	דיילי בלינד
Daley Thompson	דיילי תומפסון
Dali	דאלי
Dalia	דליה
Dalia Dorner	דליה דורנר
Dalia Friedland	דליה פרידלנד
Dalia Grybauskaitė	דליה גריבאוסקאיטה
Dalia Hertz	דליה הרץ
Dalia Itzik	דליה איציק
Dalia Levin	דליה לוין
Dalia Power Station	תחנת הכוח דליה
Dalia Rabin-Pelossof	דליה רבין-פילוסוף
Daliah Lavi	דליה לביא
Dalian	דאליין
Dalian PX protest	מחאת ה-PX בדאליין
Dalibor Stevanović	דאליבור סטבנוביץ'
Dalida	דלידה
Dalio5.jpg	קובץ:Marcel Dalio.jpg
Dalit	דלית
Dalit Lahav-Durst	דלית להב-דורסט
Dalit Stauber	דלית שטאובר
Daliyat al-Karmel	דאלית אל-כרמל
Dall sheep	כבש דאלי
Dall's porpoise	פוקנת דאל
Dallas	דאלאס
Dallas	קטגוריה:דאלאס
Dallas Buyers Club	מועדון הלקוחות של דאלאס
Dallas Cowboys	דאלאס קאובויס
Dallas Mavericks	דאלאס מאבריקס
Dallas Mavericks head coaches	קטגוריה:מאמני דאלאס מאבריקס
Dallas Mavericks players	קטגוריה:כדורסלני דאלאס מאבריקס
Dallas Roberts	דאלאס רוברטס
Dallas Stars	דאלאס סטארס
Dallas Symphony Orchestra	התזמורת הסימפונית של דאלאס
Dallas/Fort Worth International Airport	נמל התעופה הבינלאומי דאלאס פורט וורת'
Dallon Weekes	דלון וויקס
Dalmatia	דלמטיה
Dalmatian	דלמטי
Dalmatian language	דלמטית
Dalmatian pelican	שקנאי מסולסל
Daloa	דאלואה
Dalton	דלטון
Dalton Highway	דלטון הייווי
Dalton Trumbo	דלטון טרמבו
Dalton Winery	יקב דלתון
Dalton's law	מודל דלטון
Dam	סכר
Dam Square	דה דאם
Dama	דמה
Dama gazelle	צבי יחמורי
Damachava	דומצ'ב
Damage to major ships at the Battle of Jutland	קרב יוטלנד: סטטיסטיקה של הקרב וסיכום אבדות
Damages	Damages
Damages	פיצויים
Damaliscus	דאמאליסק
Damallsvenskan	ליגת העל השוודית
Daman and Diu	דאמאן ודיו
Damanhur	דמנהור
Damara people	דמארה
Damaraland mole-rat	חולד דמאראלנד
Damari	דמארי
Damaris Cudworth Masham	דמאריס מאשם
Damascus	דמשק
Damascus	קטגוריה:דמשק
Damascus Document	ספר ברית דמשק
Damascus Gate	שער שכם
Damascus International Airport	נמל התעופה הבינלאומי של דמשק
Damascus Protocol	פרוטוקול דמשק
Damascus University	אוניברסיטת דמשק
Damascus University	קטגוריה:דמשק: אוניברסיטאות ומכללות
Damascus affair	עלילת דמשק
Damascus steel	פלדת דמשק
Damaskinos of Athens	הארכיבישוף דמסקינוס
Damasonium	דמסון כוכבני
Dambisa Moyo	דמביסה מויו
Dambulla cave temple	מקדש הזהב בדמבולה
Damdin Sükhbaatar	דמדין סוחבאאטאר
Dame Edna Everage	דיים עדנה
Dame N'Doye	דמה אנדויה
Dames Commander of the Order of the British Empire	קטגוריה:גבירות מפקדות במסדר האימפריה הבריטית
Dames Grand Cross of the Order of the British Empire	קטגוריה:גבירות הצלב הגדול של מסדר האימפריה הבריטית
Dami Im	דאמי אים
Damia Bridge	גשר אדם
Damian Lewis	דמיאן לואיס
Damian Lillard	דמיאן לילארד
Damian Marley	דמיאן מארלי
Damian Reca	דמיאן רקה
Damian Wayne	דמיאן ויין
Damien Chazelle	דמיאן שאזל
Damien Duff	דמיאן דאף
Damien Hirst	דמיאן הירסט
Damien Rice	דמיאן רייס
Damien Sandow	דמיאן סנדאו
Damien Wilkins	דמיאן וילקינס
Damietta	דמיאט
Damin	דמינית
Damiq-ilishu	דמיק-אילישו
Damián Escudero	דמיאן אסקודרו
Damián Szifron	דמיאן סיפרון
Dammam	דמאם
Dammartin-en-Goële	דמרטן-אן-גואל
Damnatio memoriae	Damnatio memoriae
Damnation cover.jpg	קובץ:OpethDman.jpg
Damocles	חרב דמוקלס
Damon Albarn	דיימון אלברן
Damon Bossino	דיימון בוסינו
Damon Hill	דיימון היל
Damon Knight	דיימון נייט
Damon Lindelof	דיימון לינדלוף
Damon Runyon	דיימון ראניון
Damon Stoudamire	דיימון סטודמאייר
Damona	דאמונה
Damot	ממלכת דמות
Damouns	User:Damouns
Damour	דאמור
Damour massacre	טבח דאמור
Dampier Strait	מצר דמפייר
Damping	ריסון
Damrak	דאמראק
Dams	קטגוריה:סכרים
Dams in the United States	קטגוריה:ארצות הברית: סכרים
Damselfish	אלמוגית
Damselfly	שפריריות
Damyan Velchev	דמיאן ולצ'ב
Damzow	משתמש:Damzow
Dan	דן
Dan	תל דן
Dan Academic Center	מרכז אקדמי דן
Dan Allon	דן אלון
Dan Almagor	דן אלמגור
Dan Alterman	דן אלתרמן
Dan Ariely	דן אריאלי
Dan Ashbel	דן אשבל
Dan Aykroyd	דן אקרויד
Dan BaDarom	דן בדרום
Dan Bahat	דן בהט
Dan Balan	דן בלן
Dan Bar-On	דן בר-און
Dan Bavly	דן בבלי
Dan Ben-Amos	דן בן-עמוס
Dan Bilzerian	דן בילזריין
Dan Biton	דן ביטון
Dan Boneh	דן בונה
Dan Brown	דן בראון
Dan Brown	תבנית:דן בראון
Dan Burros	דניאל בורוס
Dan Bus Company	דן חברה לתחבורה ציבורית
Dan Caspi	דן כספי
Dan Castellaneta	דן קסטלנטה
Dan Chamizer	דן חמיצר
Dan Choi	דן צ'וי
Dan David	דן דוד
Dan David Prize	פרס דן דוד
Dan Einbinder	דן איינבינדר
Dan Ettinger	דן אטינגר
Dan Flavin	דן פלווין
Dan Fogelberg	דן פוגלברג
Dan Fogler	דן פוגלר
Dan Gadzuric	דן גדזוריץ'
Dan Gertler	דן גרטלר
Dan Gillerman	דן גילרמן
Dan Goldstein	דני גולדשטיין
Dan Gottfried	דני גוטפריד
Dan Grunfeld	דן גרונפלד
Dan Halutz	דני חלוץ
Dan Harel	דן הראל
Dan Harrington	דן הרינגטון
Dan Hedaya	דן הדייה
Dan Hotels	מלונות דן
Dan II of Wallachia	שליט ולאכיה דן השני
Dan Inosanto	דן אינוסנטו
Dan Lewis	דן לואיס
Dan Majerle	דן מארלי
Dan Margalit	דן מרגלית
Dan Marino	דן מרינו
Dan Meridor	דן מרידור
Dan Meyerstein	דן מאירשטיין
Dan Miron	דן מירון
Dan Mori	דן מורי
Dan Naveh	דני נוה
Dan O'Brien	דן או'בריאן
Dan O'Herlihy	דן או'הרליהי
Dan Pagis	דן פגיס
Dan Pelleg	משתמש:Dan Pelleg
Dan Pelleg/Inline element	משתמש:Dan Pelleg/ארגז חול/inline
Dan Pelleg/Sandbox	משתמש:Dan Pelleg/ארגז חול
Dan Petrescu	דן פטרסקו
Dan Povenmire	דן פוונמיר
Dan Quayle	דן קווייל
Dan Rather	דן ראד'ר
Dan Reisinger	דן ריזינגר
Dan Reynolds	דן ריינולדס
Dan River	נחל דן
Dan Roman	דן רומן
Dan Savage	דן סאבאג'
Dan Schneider	דן שניידר
Dan Segal	דניאל סגל
Dan Senor	דן סינור
Dan Shechtman	דן שכטמן
Dan Shilon	דן שילון
Dan Shomron	דן שומרון
Dan Smith	דן סמית'
Dan Spătaru	דן ספטרו
Dan Stevens	דן סטיבנס
Dan Sullivan	דן סאליבן
Dan Tichon	דן תיכון
Dan Tolkowsky	דן טולקובסקי
Dan Tsalka	דן צלקה
Dan Veatch	דן ויטץ'
Dan Vs.	דן נגד העולם
Dan Wolman	דן וולמן
Dan Zahavi	דן זהבי
Dan Zakheim	דן זקהיים
Dana	דיינה
Dana Andrews	דיינה אנדרוז
Dana Bash	דנה באש
Dana Berger	דנה ברגר
Dana Carvey	דיינה קארווי
Dana Delany	דנה דלייני
Dana International	דנה אינטרנשיונל
Dana Ivgy	דאנה איבגי
Dana Olmert	דנה אולמרט
Dana Plato	דיינה פלטו
Dana Reeve	דיינה ריב
Dana Ron	דנה רון
Dana Rosemary Scallon	דנה רוזמרי סקאלון
Dana Vollmer	דנה ולמר
Dana Zátopková	דנה זטופקובה
Danai Gurira	דנאי גורירה
Danalite	דיינאליט
Danaman5/Workshop/Chinese philosophy	פילוסופיה סינית
Danay García	דני גרסיה
Dance	הריקוד
Dance	קטגוריה:מחול
Dance	ריקוד
Dance Dance Revolution	Dance Dance Revolution
Dance Moms	רקדניות קטנות
Dance companies	קטגוריה:הרכבי מחול
Dance in Israel	קטגוריה:מחול בישראל
Dance in the Dark	Dance in the Dark
Dance music	דאנס
Dance of Death	Dance of Death
Dance of the Hours	מחול השעות
Dance of the Rainbow Serpent	Dance of the Rainbow Serpent
Dance pad	שטיח ריקוד
Dance stubs	קטגוריה:קצרמר מחול
Dance therapy	טיפול בתנועה
Dance-pop	דאנס-פופ
Dance-pop songs	קטגוריה:שירי דאנס-פופ
Dancehall	דאנסהול
Dancemucke/Userboxes/Opera12	תבנית:משתמש אופרה
Dancers	קטגוריה:רקדנים
Dancers by nationality	קטגוריה:רקדנים לפי מדינה
Dances	קטגוריה:יצירות מחול
Dances of Georgia	קטגוריה:ריקודים גאורגיים
Dances with Wolves	רוקד עם זאבים
Dancing House	הבית הרוקד
Dancing Plague of 1518	מגפת הריקודים
Dancing Queen	Dancing Queen
Dancing at Lughnasa	רוקדים בלונאסה
Dancing with the Stars participants	קטגוריה:מתחרי רוקדים עם כוכבים
Dandruff	קשקשת
Dandy	דנדיזם
Dane Axe	גרזן דני
Dane Cook	דיין קוק
Dane DeHaan	דיין דיהן
Danel	אגדת אקהת
Danell Leyva	דאנל לייבה
Danes	דנים
Danga	משתמש:Danga
Danger Close Games	DICE Los Angeles
Danger Mouse	דיינג'ר מאוס
Dangerous	Dangerous
Dangerous Dave	Dangerous Dave
Dangerous Liaisons	יחסים מסוכנים
Dangerous Minds	סיכון מחושב
Dangerous Woman	Dangerous Woman
Dangerous goods	חומרים מסוכנים
Dangerously in Love	Dangerously in Love
Dangling Man	על בלימה
Dango	דנגו
Dangriga	דנגריגה
Dani Alves	דניאל אלבס
Dani Bondar	דני בונדר
Dani Carvajal	דניאל קרבחאל
Dani Dayan	דני דיין
Dani Díez	דניאל דיאס
Dani Filth	דני פילת'
Dani Güiza	דניאל גוויסה
Dani Karavan	דני קרוון
Dani Koren	דני קורן
Dani Menkin	דני מנקין
Dani Pedrosa	דני פדרוסה
Dani Romera	דני רומרה
Dani Shmulevich-Rom	דני רום
Dani Sordo	דני סורדו
Dania Ramirez	דניה רמירז
Danica Patrick	דניקה פטריק
Daniel	דניאל
Daniel 2	חלום נבוכדנצר
Daniel Adair	דניאל אדייר
Daniel Adam z Veleslavína	דניאל אדם מוולסלאבין
Daniel Agger	דניאל אגר
Daniel Amartey	דניאל אמרטי
Daniel Amit	דניאל עמית
Daniel Aranzubia	דניאל אראנזוביה
Daniel Auber	דניאל אובר
Daniel Auster	דניאל אוסטר
Daniel Auteuil	דניאל אוטיי
Daniel Ayala Pérez	דניאל איילה פרס
Daniel Baharier	דניאל בהריר
Daniel Bar-Tal	דניאל בר-טל
Daniel Barenboim	דניאל בארנבוים
Daniel Baránek	משתמש:Daniel Baranek
Daniel Bell	דניאל בל
Daniel Ben-Simon	דניאל בן סימון
Daniel Benlulu	דניאל בנלולו
Daniel Bensaïd	דניאל בן סעיד
Daniel Bernoulli	דניאל ברנולי
Daniel Bertoni	דניאל ברטוני
Daniel Bomberg	דניאל בומברג
Daniel Boone	דניאל בון
Daniel Boorstin	דניאל ג'. בורסטין
Daniel Borimirov	דניאל בורימירוב
Daniel Boulud	דניאל בולו
Daniel Boyarin	דניאל בויארין
Daniel Brailovsky	דניאל בריילובסקי
Daniel Bryan	דניאל בריאן
Daniel Brühl	דניאל בריהל
Daniel Bukantz	דניאל בוקנץ
Daniel Burnham	דניאל ברנהם
Daniel Caligiuri	דניאל קליגיורי
Daniel Cambronero	דניאל קמברונרו
Daniel Chwolson	דניאל חבולסון
Daniel Cohn-Bendit	דניאל כהן-בנדיט
Daniel Colman	דניאל קולמן
Daniel Craig	דניאל קרייג
Daniel Dae Kim	דניאל דיי קים
Daniel Dagan	דניאל דגן
Daniel Davari	דניאל דבארי
Daniel Day-Lewis	דניאל דיי לואיס
Daniel De Leon	דניאל דה ליאון
Daniel Defoe	דניאל דפו
Daniel Dennett	דניאל דנט
Daniel Deronda	דניאל דרונדה
Daniel Dias	דניאל דיאס
Daniel Diaz	דניאל דיאס
Daniel Didavi	דניאל דידאבי
Daniel Diges	דניאל דיחס
Daniel Dimov	דניאל דימוב
Daniel Doron	דניאל דורון
Daniel Díaz	דניאל דיאס
Daniel Ellsberg	דניאל אלסברג
Daniel Elyakim	דניאל אליקים
Daniel Fonseca	דניאל פונסקה
Daniel Frank	דניאל פרנק
Daniel François Malan	דניאל פרנסואה מאלאן
Daniel Friedmann	דניאל פרידמן
Daniel Frohman	דניאל פרוהמן
Daniel Gabriel Fahrenheit	דניאל פרנהייט
Daniel Georgievski	דניאל גאורגייבסקי
Daniel Gibson	דניאל גיבסון
Daniel Gildenlöw	דניאל גילדנלאו
Daniel Goldhagen	דניאל גולדהגן
Daniel Goldin	דניאל גולדין
Daniel Goleman	דניאל גולמן
Daniel Gordon	דניאל גורדון
Daniel Gortler	דניאל גורטלר
Daniel Greenberg	דניאל גרינברג
Daniel Guilet	דניאל גילה
Daniel Haber	דניאל הבר
Daniel Halfar	דניאל הלפר
Daniel Handler	דניאל הנדלר
Daniel Hannan	דניאל האנן
Daniel Harding	דניאל הארדינג
Daniel Harrwitz	דניאל הארוויץ
Daniel Hechter	דניאל השטר
Daniel Hershkowitz	דניאל הרשקוביץ
Daniel Hillel	דניאל הלל
Daniel Inouye	דניאל אינווי
Daniel Interchange	מחלף דניאל
Daniel Itzig	דניאל איציג
Daniel Ivin	דניאל איבין
Daniel Jammer	דניאל יאמר
Daniel Jarque	דניאל חארקה
Daniel Johnston	דניאל ג'ונסטון
Daniel Kahneman	דניאל כהנמן
Daniel Kan	דניאל קאן
Daniel Keyes	דניאל קיז
Daniel Kowalski	דניאל קובלסקי
Daniel Kurtzer	דן קרצר
Daniel Lewin	דניאל לוין
Daniel Libeskind	דניאל ליבסקינד
Daniel Libeskind buildings	קטגוריה:דניאל ליבסקינד
Daniel Lifshitz	דניאל ליפשיץ
Daniel Machover	דניאל מחובר
Daniel Massey	דניאל מאסי
Daniel Mays	דניאל מייס
Daniel Mazia	דניאל מאזיה
Daniel McFadden	דניאל מקפאדן
Daniel Mendelsohn	דניאל מנדלסון
Daniel Mendoza	דניאל מנדוסה
Daniel Merriweather	דניאל מריוות'ר
Daniel Mesguich	דניאל מזגיש
Daniel Mitov	דניאל מיטוב
Daniel Montenegro	דניאל מונטנגרו
Daniel Myrick	דניאל מייריק
Daniel Nathans	דניאל נתנס
Daniel Negreanu	דניאל נגראנו
Daniel O'Connell	דניאל או'קונל
Daniel Oren	דניאל אורן
Daniel Ortega	דניאל אורטגה
Daniel Parejo	דניאל פארחו
Daniel Passarella	דניאל פסארלה
Daniel Patrick Moynihan	דניאל פטריק מויניהאן
Daniel Paul Schreber	דניאל פאול שרבר
Daniel Pe'er	דניאל פאר
Daniel Pearl	דניאל פרל
Daniel Pennac	דניאל פנק
Daniel Pipes	דניאל פייפס
Daniel Pollen	דניאל פולן
Daniel Quinn	דניאל קווין
Daniel Radcliffe	דניאל רדקליף
Daniel Rogov	דניאל רוגוב
Daniel Rosolio	דניאל רוזוליו
Daniel Rothschild	דני רוטשילד
Daniel Salomon	דניאל סלומון
Daniel Samohin	דניאל סמוכין
Daniel Sanders	דניאל סנדרס
Daniel Santiago	דניאל סנטיאגו
Daniel Schueftan	דן שיפטן
Daniel Seaman	דניאל סימן
Daniel Shapiro	דן שפירו
Daniel Silva	דניאל סילבה
Daniel Simandoev~enwiki	משתמש:דניאל סימנדוייב
Daniel Sivan	דניאל סיון
Daniel Sperber	דניאל שפרבר
Daniel Stern	דניאל סטרן
Daniel Sturridge	דניאל סטארידג'
Daniel Swarovski	דניאל סברובסקי
Daniel Syrkin	דני סירקין
Daniel Tammet	דניאל טאמט
Daniel Taub	דניאל טאוב
Daniel Tompkins	דניאל תומפקינס
Daniel Travanti	דניאל ג'יי. טראוואנטי
Daniel Van Buyten	דניאל ואן בויטן
Daniel Varoujan	דניאל ורוז'אן
Daniel Wachsmann	דניאל וקסמן
Daniel Webster	דניאל ובסטר
Daniel Zajfman	דניאל זייפמן
Daniel Zamir	דניאל זמיר
Daniel Zion	דניאל ציון
Daniel al-Kumisi	דניאל בן משה אלקומיסי
Daniel arap Moi	דניאל אראפ מוי
Daniel bg	משתמש:דָּנִיֵּאל
Daniel da Mota	דניאל דה מוטה
Daniel il	משתמש:Daniel1
